diario|snippet|time|title|svm_prediction|year|id_news
|La Universidad de Guayaquil celebró sus 151 años en el auditorio de la Facultad de Arquitectura, al norte de Guayaquil.|1 dic. 2018 -|"Universidad de Guayaquil celebra aniversario 151 | Comunidad ..."|educ||
|Durante la rueda de prensa para explicar la intervención de la Universidad de Guayaquil aprobada ayer, y que se hará de manera inmediata, Bonilla dijo que la ...|16 oct. 2018 -|Hospital Universitario se devolverá a la Universidad de Guayaquil ...|educ||
|Las autoridades de educación superior negaron esta mañana que se vayan a reabrir las 14 universidades y escuelas politécnicas que no alcanzaron los ...|25 oct. 2017 -|Autoridades niegan que se vayan a reaperturar 14 universidades ...|educ||
|Un enfrentamiento con piedras y palos se registró este jueves en la Universidad de Guayaquil, luego de que partidarios de la rectora por subrogación, Gulnara ...|11 oct. 2018 -|"Nuevos disturbios en Universidad de Guayaquil | Comunidad ..."|educ||
|Para eso se necesitan recursos, para más aulas y profesores, pero para agravar las cosas, el Estado, en lugar de crear más universidades, les recorta el ...|24 sep. 2017 -|"La infraestructura, otra limitante de acceso a universidades | Ecuador ..."|educ||
|Las becas siempre son un aliciente para los aspirantes universitarios al momento de seleccionar un centro de estudios superior. Aquí tres universidades ...|15 feb. 2018 -|Opciones de becas y otras ayudas económicas en tres universidades ...|educ||
|Al menos 22.691 nuevos cupos hay en este periodo de admisiones en carreras del tercer nivel en universidades. Augusto Barrera, principal de la Senescyt, ...|23 feb. 2018 -|22 mil nuevos cupos para ir a la Universidad, anunció Senescyt ...|educ||
|Quería estudiar Medicina en la Universidad de Guayaquil. Hace un año, cuenta, sacó 800 puntos en la prueba para ingresar a la universidad pública y no ...|14 may. 2017 -|Jóvenes van a tecnológicos ante falta de cupo en la Universidad ...|educ||
|60 instituciones ingresaron por primera vez al top 1.000 de las mejores universidades a nivel mundial, de esas 6 son de Latinoamérica.|7 jun. 2018 -|Espol ingresó al ranking de las 1.000 mejores universidades del mundo|educ||
|Tras una serie de disputas por el rectorado, a partir de hoy, unos 60.000 estudiantes pertenecientes a las distintas facultades de la Universidad de Guayaquil, ...|22 oct. 2018 -|"Empiezan clases en la Universidad de Guayaquil | Comunidad ..."|educ||
|Graduados de la Universidad de Guayaquil piden registro de títulos. estudiantes. Graduados de Medicina exigieron agilidad en registro de sus títulos ya que no ...|13 nov. 2018 -|Graduados de la Universidad de Guayaquil piden registro de títulos ...|educ||
|Un grupo de egresados de la Universidad de Guayaquil reclamaron esta mañana para que se agilite el proceso de registro de sus títulos. Ellos se juntaron en ...|12 nov. 2018 -|Grupo de egresados reclama por sus títulos en ... - Guayaquil|educ||
|El Examen Nacional para la Educación Superior (ENES) se mantendrá para aquellos estudiantes que continúen sus estudios en la universidad pública o ...|23 ene. 2015 -|Exámenes ENES solo para entrar a universidades públicas o ...|educ||
|Unos ya estudian en institutos técnicos y tecnológicos o están siguiendo cursos complementarios para su formación. Otros todavía recorren universidades ...|15 may. 2017 -|Lista de espera para cupos en universidades ... - Guayaquil|educ||
